Features,our-legacy-black-dolphin-coat,polo-ralph-lauren-indigo-trucker-denim-jacket,isabel-marant-gray-barry-sweater,kiko-kostadinov-gray-cp-company-edition-jacket,bottega-veneta-brown-criss-cross-jacket,eytys-gray-genesis-coat,yohji-yamamoto-black-paneled-coat,rick-owens-black-edfu-leather-jacket,comme-des-garcons-homme-plus-black-distressed-blazer
Sportswear/Athleisure,0,0,0,0,0,0,0,0,0
Artisanal/Archival ,0,0,0,1,1,1,2,3,3
Avant-Garde,0,0,0,1,1,0,5,5,5
Luxury,3,2,3,3,5,5,4,4,4
Streetwear,1,3,0,2,1,0,0,2,0
Gorpcore/Techwear,2,0,0,5,0,0,0,0,0
Minimalist,5,5,5,3,2,3,0,0,0
